MemTotal:       16777216 kB
MemFree:         1048576 kB
MemAvailable:    9437184 kB
Buffers:          204800 kB
Cached:          3145728 kB
SwapCached:            0 kB
Active:          5242880 kB
Inactive:        2621440 kB
Active(anon):    3145728 kB
Inactive(anon):        0 kB
Active(file):    2097152 kB
Inactive(file):  2621440 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       8388608 kB
SwapFree:        8388608 kB
Dirty:              1024 kB
Writeback:             0 kB
